Date,Max,Avg,Min,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1/1/2014,34,29,24,24,21,17,81,73,64,30.37,30.27,30.1,10,10,8,9,3,14,T,
1/2/2014,30,21,12,27,20,7,92,84,75,30.09,29.87,29.68,10,4,0,25,9,32,0.27,Snow
1/3/2014,16,11,6,6,2,0,80,67,53,30.48,30.33,30.04,10,8,2,24,8,29,T,Snow
1/4/2014,37,23,8,9,5,2,80,53,25,30.38,30.24,30.15,10,10,10,20,7,29,0,
1/5/2014,46,33,20,43,24,9,89,68,46,30.15,29.91,29.42,10,10,10,9,3,13,0.05,Rain
1/6/2014,50,22,-7,45,11,-18,92,72,52,30.21,29.81,29.38,10,6,0,32,16,52,0.27,"Rain , Snow"
1/7/2014,4,-2,-9,-4,-13,-21,79,69,58,30.47,30.35,30.11,10,8,2,23,11,32,T,Snow
1/8/2014,23,13,2,20,7,-4,92,72,52,30.54,30.48,30.38,10,8,2,13,5,17,0.04,Snow
1/9/2014,33,26,18,25,20,15,92,77,61,30.63,30.52,30.4,10,8,4,10,3,13,0.1,Snow
1/10/2014,46,39,31,43,36,25,96,89,82,30.37,30.22,29.91,10,8,2,9,5,14,0.03,"Rain , Snow"
1/11/2014,54,46,37,50,43,30,100,83,65,29.86,29.57,29.38,10,9,2,28,11,44,0.5,Rain
1/12/2014,37,34,30,31,28,26,89,80,70,30.08,29.95,29.71,10,9,6,22,8,30,T,"Rain , Snow"
1/13/2014,55,43,30,45,35,27,93,66,38,30.01,29.87,29.71,10,9,3,17,8,22,0.3,Rain
1/14/2014,48,40,32,45,36,28,100,81,62,29.85,29.78,29.69,10,8,5,16,6,21,0.07,Rain
1/15/2014,40,32,23,32,22,13,89,67,45,30.06,29.95,29.8,10,10,6,21,9,26,T,"Rain , Snow"
1/16/2014,32,25,17,17,15,13,84,64,43,30.04,29.94,29.83,10,10,6,16,6,22,T,Snow
1/17/2014,38,30,22,32,26,17,85,67,49,29.96,29.84,29.76,10,7,0,21,8,29,0.12,Snow
1/18/2014,22,17,11,16,8,1,84,73,61,30.06,29.98,29.86,10,9,1,16,8,22,0.03,Snow
1/19/2014,33,25,17,21,18,14,92,73,54,29.86,29.79,29.71,10,8,2,22,9,31,0.03,Snow
1/20/2014,37,30,23,28,23,17,85,71,56,29.96,29.79,29.65,10,10,7,18,11,25,T,Snow
